idOrden;idProducto;cantidadDevuelta;fechaDevolucion;motivoDevolucion;resolucion
15297;7320;2;9/30/2005;Producto dañado o defectuoso;Intercambio por variante
20742;3908;1;10/1/2005;Producto dañado o defectuoso;Crédito de la tienda
13052;3172;6;10/2/2005;Producto o tamaño incorrecto;Reembolso
3955;3712;1;10/3/2005;Producto o tamaño incorrecto;Reembolso
30848;1588;2;10/8/2005;Producto dañado o defectuoso;Reembolso
54622;821;7;10/8/2005;Producto o tamaño incorrecto;Intercambio por variante
67776;939;7;10/8/2005;Producto o tamaño incorrecto;Crédito de la tienda
7428;7538;2;10/18/2005;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
94110;7472;3;10/19/2005;Producto o tamaño incorrecto;Reembolso
66118;3245;2;10/20/2005;Producto o tamaño incorrecto;Reembolso
79527;844;8;10/21/2005;Producto o tamaño incorrecto;Intercambio por nuevos productos
95094;4002;4;10/26/2005;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
28577;6880;1;10/27/2005;Cambio de idea o insatisfacción personal;Crédito de la tienda
53508;1790;1;10/29/2005;Producto o tamaño incorrecto;Crédito de la tienda
54290;8438;2;10/31/2005;Producto dañado o defectuoso;Intercambio por nuevos productos
43541;567;7;11/5/2005;Producto o tamaño incorrecto;Reembolso
13404;8483;1;11/9/2005;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
95094;5103;2;11/10/2005;Cambio de idea o insatisfacción personal;Crédito de la tienda
72127;4379;2;11/12/2005;Producto dañado o defectuoso;Intercambio por nuevos productos
14515;7304;8;11/13/2005;Producto dañado o defectuoso;Intercambio por variante
20197;7208;6;11/16/2005;Cambio de idea o insatisfacción personal;Reembolso
94480;8404;2;11/16/2005;Producto dañado o defectuoso;Intercambio por nuevos productos
97344;4576;2;11/17/2005;Producto dañado o defectuoso;Reembolso
93172;3119;7;11/18/2005;Producto dañado o defectuoso;Reembolso
4345;2510;5;11/22/2005;Producto o tamaño incorrecto;Intercambio por nuevos productos
68317;2175;1;11/28/2005;Producto dañado o defectuoso;Crédito de la tienda
93172;1801;2;12/4/2005;Cambio de idea o insatisfacción personal;Reembolso
56381;4335;6;12/5/2005;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
73349;8617;4;12/5/2005;Producto dañado o defectuoso;Intercambio por nuevos productos
11613;429;2;12/7/2005;Producto o tamaño incorrecto;Crédito de la tienda
44788;4160;3;12/8/2005;Cambio de idea o insatisfacción personal;Crédito de la tienda
11180;8668;5;12/10/2005;Cambio de idea o insatisfacción personal;Intercambio por variante
67722;8580;4;12/12/2005;Producto dañado o defectuoso;Intercambio por variante
67722;1037;2;12/13/2005;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
52579;4565;1;12/15/2005;Producto o tamaño incorrecto;Reembolso
93430;1726;3;12/15/2005;Producto dañado o defectuoso;Reembolso
59322;2990;2;12/16/2005;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
96851;8647;4;12/17/2005;Producto dañado o defectuoso;Intercambio por variante
52579;8787;3;12/19/2005;Producto dañado o defectuoso;Crédito de la tienda
87535;2809;4;12/20/2005;Producto dañado o defectuoso;Crédito de la tienda
5410;8778;4;12/21/2005;Producto o tamaño incorrecto;Crédito de la tienda
37844;1489;7;12/21/2005;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
51440;382;7;12/21/2005;Cambio de idea o insatisfacción personal;Reembolso
30368;4893;1;12/22/2005;Producto dañado o defectuoso;Crédito de la tienda
25774;2223;7;12/26/2005;Producto o tamaño incorrecto;Intercambio por nuevos productos
37844;5772;6;12/26/2005;Producto dañado o defectuoso;Reembolso
87868;5597;1;1/1/2006;Producto o tamaño incorrecto;Reembolso
50591;8227;4;1/2/2006;Producto dañado o defectuoso;Reembolso
85592;8688;3;1/5/2006;Cambio de idea o insatisfacción personal;Intercambio por variante
3714;8834;2;1/7/2006;Cambio de idea o insatisfacción personal;Reembolso
56851;1564;6;1/15/2006;Cambio de idea o insatisfacción personal;Intercambio por variante
95409;3166;2;1/16/2006;Producto dañado o defectuoso;Crédito de la tienda
56851;7151;1;1/22/2006;Cambio de idea o insatisfacción personal;Reembolso
62038;1193;4;1/26/2006;Producto o tamaño incorrecto;Intercambio por nuevos productos
69073;7978;9;1/28/2006;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
10961;6531;1;1/31/2006;Producto dañado o defectuoso;Intercambio por nuevos productos
44363;1262;4;1/31/2006;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
18673;2287;1;2/3/2006;Producto dañado o defectuoso;Intercambio por variante
9643;1579;1;2/5/2006;Producto o tamaño incorrecto;Intercambio por variante
27003;9019;2;2/5/2006;Producto dañado o defectuoso;Reembolso
29200;8975;5;2/5/2006;Producto o tamaño incorrecto;Intercambio por nuevos productos
91828;2224;5;2/8/2006;Producto o tamaño incorrecto;Intercambio por variante
44363;7981;4;2/11/2006;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
74913;5906;5;2/12/2006;Producto o tamaño incorrecto;Intercambio por nuevos productos
96053;230;1;2/12/2006;Producto dañado o defectuoso;Reembolso
46922;7490;3;2/14/2006;Producto dañado o defectuoso;Intercambio por variante
24892;2557;3;2/15/2006;Cambio de idea o insatisfacción personal;Intercambio por variante
90488;9187;3;2/17/2006;Producto o tamaño incorrecto;Intercambio por variante
25430;4517;1;2/19/2006;Producto dañado o defectuoso;Reembolso
24892;2699;2;2/23/2006;Producto o tamaño incorrecto;Intercambio por nuevos productos
34702;9148;4;2/23/2006;Producto o tamaño incorrecto;Intercambio por variante
98035;1353;1;2/23/2006;Producto dañado o defectuoso;Intercambio por variante
24892;3605;4;2/24/2006;Cambio de idea o insatisfacción personal;Reembolso
36264;2508;1;2/24/2006;Producto dañado o defectuoso;Crédito de la tienda
72785;6706;4;2/24/2006;Cambio de idea o insatisfacción personal;Crédito de la tienda
97205;3927;7;2/24/2006;Producto dañado o defectuoso;Intercambio por nuevos productos
36499;9099;3;2/26/2006;Producto o tamaño incorrecto;Intercambio por nuevos productos
46770;9099;3;2/27/2006;Producto o tamaño incorrecto;Reembolso
9643;1536;2;2/28/2006;Cambio de idea o insatisfacción personal;Crédito de la tienda
43602;5177;3;3/1/2006;Producto dañado o defectuoso;Intercambio por nuevos productos
45574;646;1;3/7/2006;Producto o tamaño incorrecto;Reembolso
93552;5071;7;3/13/2006;Producto o tamaño incorrecto;Crédito de la tienda
29061;124;10;3/14/2006;Producto dañado o defectuoso;Reembolso
96346;1071;6;3/14/2006;Producto dañado o defectuoso;Intercambio por nuevos productos
49258;9229;1;3/15/2006;Producto dañado o defectuoso;Crédito de la tienda
28448;8815;1;3/17/2006;Producto o tamaño incorrecto;Intercambio por variante
44799;3482;6;3/17/2006;Cambio de idea o insatisfacción personal;Reembolso
77207;3360;1;3/18/2006;Producto o tamaño incorrecto;Intercambio por nuevos productos
38334;5929;6;3/24/2006;Producto dañado o defectuoso;Intercambio por variante
38530;4692;7;3/26/2006;Producto dañado o defectuoso;Reembolso
45353;6536;1;3/26/2006;Cambio de idea o insatisfacción personal;Intercambio por variante
86646;5684;10;3/26/2006;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
57876;423;7;3/27/2006;Producto dañado o defectuoso;Reembolso
8482;1740;7;3/28/2006;Producto o tamaño incorrecto;Intercambio por nuevos productos
23133;8141;4;3/28/2006;Cambio de idea o insatisfacción personal;Intercambio por variante
64523;5273;1;3/29/2006;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
93552;5167;6;3/29/2006;Producto o tamaño incorrecto;Intercambio por nuevos productos
522;7413;3;3/30/2006;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
4740;6388;4;3/30/2006;Cambio de idea o insatisfacción personal;Reembolso
88948;7375;3;3/30/2006;Producto o tamaño incorrecto;Crédito de la tienda
44841;8822;6;3/31/2006;Producto o tamaño incorrecto;Crédito de la tienda
86861;2647;1;3/31/2006;Producto dañado o defectuoso;Reembolso
33494;3628;7;4/1/2006;Producto o tamaño incorrecto;Crédito de la tienda
56989;9283;4;4/1/2006;Cambio de idea o insatisfacción personal;Crédito de la tienda
91070;1007;7;4/1/2006;Cambio de idea o insatisfacción personal;Intercambio por variante
99257;8924;1;4/1/2006;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
98337;5414;1;4/2/2006;Producto dañado o defectuoso;Intercambio por variante
14623;9189;5;4/3/2006;Producto o tamaño incorrecto;Intercambio por nuevos productos
4215;6046;4;4/4/2006;Producto o tamaño incorrecto;Crédito de la tienda
78678;3601;1;4/5/2006;Producto o tamaño incorrecto;Intercambio por nuevos productos
96374;3395;11;4/5/2006;Cambio de idea o insatisfacción personal;Reembolso
23862;9296;8;4/7/2006;Producto o tamaño incorrecto;Reembolso
61791;3191;2;4/7/2006;Producto o tamaño incorrecto;Crédito de la tienda
91070;5422;8;4/8/2006;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
52514;3684;2;4/9/2006;Cambio de idea o insatisfacción personal;Reembolso
84378;8007;4;4/10/2006;Producto o tamaño incorrecto;Intercambio por nuevos productos
90155;7913;1;4/10/2006;Producto dañado o defectuoso;Crédito de la tienda
95313;2784;4;4/10/2006;Cambio de idea o insatisfacción personal;Crédito de la tienda
3787;9399;1;4/11/2006;Producto dañado o defectuoso;Intercambio por nuevos productos
83307;232;2;4/11/2006;Producto dañado o defectuoso;Crédito de la tienda
92866;9398;10;4/11/2006;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
45307;2971;1;4/12/2006;Cambio de idea o insatisfacción personal;Crédito de la tienda
59085;9393;7;4/17/2006;Producto o tamaño incorrecto;Intercambio por variante
8693;5873;5;4/27/2006;Producto o tamaño incorrecto;Crédito de la tienda
25919;9405;4;4/28/2006;Producto dañado o defectuoso;Intercambio por nuevos productos
54785;4538;6;4/28/2006;Producto o tamaño incorrecto;Intercambio por nuevos productos
90736;9448;1;4/28/2006;Cambio de idea o insatisfacción personal;Reembolso
97401;7215;5;4/30/2006;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
97401;4406;7;5/2/2006;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
27239;153;1;5/3/2006;Producto o tamaño incorrecto;Intercambio por nuevos productos
82926;815;2;5/3/2006;Cambio de idea o insatisfacción personal;Intercambio por variante
75795;5590;3;5/5/2006;Producto dañado o defectuoso;Intercambio por variante
78081;4264;3;5/7/2006;Producto dañado o defectuoso;Crédito de la tienda
83152;9515;2;5/8/2006;Cambio de idea o insatisfacción personal;Reembolso
41081;5490;3;5/10/2006;Producto o tamaño incorrecto;Reembolso
98143;9549;3;5/10/2006;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
52080;4817;1;5/11/2006;Producto dañado o defectuoso;Reembolso
81450;4426;2;5/11/2006;Producto o tamaño incorrecto;Reembolso
88627;791;6;5/15/2006;Producto o tamaño incorrecto;Intercambio por variante
32424;3058;2;5/20/2006;Producto o tamaño incorrecto;Reembolso
84936;8834;2;5/21/2006;Cambio de idea o insatisfacción personal;Reembolso
67583;7107;5;5/22/2006;Producto dañado o defectuoso;Intercambio por nuevos productos
90942;4435;8;5/22/2006;Producto dañado o defectuoso;Intercambio por nuevos productos
92181;8495;1;5/28/2006;Producto dañado o defectuoso;Intercambio por nuevos productos
98428;3653;1;5/29/2006;Producto o tamaño incorrecto;Intercambio por nuevos productos
14061;6742;2;5/30/2006;Cambio de idea o insatisfacción personal;Intercambio por variante
18933;8702;1;5/30/2006;Cambio de idea o insatisfacción personal;Intercambio por variante
95934;8677;4;5/31/2006;Cambio de idea o insatisfacción personal;Reembolso
93526;1212;6;6/2/2006;Cambio de idea o insatisfacción personal;Intercambio por variante
1781;1835;9;6/5/2006;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
62618;4105;4;6/6/2006;Producto dañado o defectuoso;Crédito de la tienda
98842;4076;4;6/8/2006;Cambio de idea o insatisfacción personal;Crédito de la tienda
33911;2555;2;6/10/2006;Cambio de idea o insatisfacción personal;Reembolso
88398;1680;3;6/12/2006;Producto dañado o defectuoso;Crédito de la tienda
25783;1668;5;6/13/2006;Producto dañado o defectuoso;Intercambio por nuevos productos
92181;4588;4;6/13/2006;Producto o tamaño incorrecto;Intercambio por variante
2092;2574;2;6/14/2006;Producto o tamaño incorrecto;Intercambio por variante
40587;7056;3;6/14/2006;Producto o tamaño incorrecto;Intercambio por variante
24785;4653;12;6/16/2006;Producto dañado o defectuoso;Intercambio por nuevos productos
35167;5319;1;6/16/2006;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
48896;7763;7;6/16/2006;Producto o tamaño incorrecto;Intercambio por nuevos productos
74293;8899;3;6/16/2006;Producto dañado o defectuoso;Intercambio por nuevos productos
89048;9758;1;6/19/2006;Producto dañado o defectuoso;Reembolso
18501;7013;2;6/20/2006;Cambio de idea o insatisfacción personal;Crédito de la tienda
71735;9207;1;6/20/2006;Producto o tamaño incorrecto;Crédito de la tienda
94669;1857;1;6/20/2006;Cambio de idea o insatisfacción personal;Intercambio por variante
96603;9075;7;6/20/2006;Producto o tamaño incorrecto;Crédito de la tienda
15869;475;1;6/21/2006;Cambio de idea o insatisfacción personal;Intercambio por variante
12855;5227;4;6/22/2006;Producto dañado o defectuoso;Crédito de la tienda
47688;1716;6;6/22/2006;Producto dañado o defectuoso;Intercambio por nuevos productos
96611;2067;5;6/22/2006;Producto o tamaño incorrecto;Intercambio por variante
96603;3199;7;6/23/2006;Cambio de idea o insatisfacción personal;Crédito de la tienda
36218;5516;5;6/24/2006;Producto dañado o defectuoso;Reembolso
80475;146;8;6/26/2006;Producto o tamaño incorrecto;Crédito de la tienda
98842;656;1;6/26/2006;Producto o tamaño incorrecto;Intercambio por variante
92551;9632;11;6/27/2006;Producto dañado o defectuoso;Intercambio por nuevos productos
95856;2706;5;6/27/2006;Producto o tamaño incorrecto;Intercambio por variante
25660;8274;2;6/28/2006;Producto dañado o defectuoso;Intercambio por nuevos productos
93170;7688;4;6/28/2006;Producto o tamaño incorrecto;Intercambio por nuevos productos
74582;9755;1;6/29/2006;Producto o tamaño incorrecto;Reembolso
26300;9489;8;6/30/2006;Producto o tamaño incorrecto;Intercambio por nuevos productos
62956;1688;1;6/30/2006;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
90151;76;3;6/30/2006;Producto o tamaño incorrecto;Reembolso
95144;9657;5;7/1/2006;Producto o tamaño incorrecto;Intercambio por variante
45483;6914;7;7/2/2006;Cambio de idea o insatisfacción personal;Crédito de la tienda
30925;9821;4;7/4/2006;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
22912;3340;6;7/5/2006;Producto dañado o defectuoso;Intercambio por nuevos productos
86387;9664;2;7/6/2006;Producto o tamaño incorrecto;Crédito de la tienda
34985;1320;7;7/7/2006;Producto dañado o defectuoso;Crédito de la tienda
67610;9651;1;7/8/2006;Producto o tamaño incorrecto;Intercambio por variante
93170;9755;3;7/10/2006;Cambio de idea o insatisfacción personal;Crédito de la tienda
18229;4095;2;7/12/2006;Producto dañado o defectuoso;Intercambio por nuevos productos
12522;4978;4;7/14/2006;Producto o tamaño incorrecto;Intercambio por nuevos productos
76075;2492;8;7/15/2006;Cambio de idea o insatisfacción personal;Intercambio por variante
3573;9767;8;7/17/2006;Producto o tamaño incorrecto;Intercambio por nuevos productos
63480;4609;4;7/17/2006;Producto dañado o defectuoso;Crédito de la tienda
99393;5158;1;7/17/2006;Producto o tamaño incorrecto;Intercambio por nuevos productos
23279;1547;4;7/18/2006;Cambio de idea o insatisfacción personal;Reembolso
65563;9877;5;7/18/2006;Producto o tamaño incorrecto;Intercambio por nuevos productos
80335;6011;5;7/20/2006;Cambio de idea o insatisfacción personal;Crédito de la tienda
91226;4652;1;7/20/2006;Cambio de idea o insatisfacción personal;Reembolso
8674;2742;2;7/21/2006;Producto o tamaño incorrecto;Reembolso
34503;9798;9;7/22/2006;Cambio de idea o insatisfacción personal;Crédito de la tienda
66377;5776;1;7/22/2006;Producto dañado o defectuoso;Reembolso
73125;8305;6;7/22/2006;Producto dañado o defectuoso;Intercambio por variante
53799;9956;3;7/23/2006;Producto o tamaño incorrecto;Intercambio por nuevos productos
10131;9915;2;7/27/2006;Producto dañado o defectuoso;Intercambio por variante
43637;5030;2;7/28/2006;Producto dañado o defectuoso;Crédito de la tienda
11433;5738;2;7/29/2006;Producto o tamaño incorrecto;Intercambio por variante
89022;9938;7;8/1/2006;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
40476;9994;1;8/2/2006;Cambio de idea o insatisfacción personal;Intercambio por variante
75463;9933;2;8/2/2006;Producto o tamaño incorrecto;Intercambio por nuevos productos
73325;10047;5;8/4/2006;Producto o tamaño incorrecto;Intercambio por variante
71883;6933;2;8/5/2006;Cambio de idea o insatisfacción personal;Reembolso
71883;155;3;8/9/2006;Producto o tamaño incorrecto;Intercambio por variante
64671;9025;3;8/11/2006;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
97534;1239;2;8/11/2006;Cambio de idea o insatisfacción personal;Crédito de la tienda
47778;6738;2;8/12/2006;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
89022;555;4;8/13/2006;Producto dañado o defectuoso;Crédito de la tienda
41035;3992;2;8/14/2006;Producto o tamaño incorrecto;Reembolso
61902;8499;8;8/14/2006;Producto o tamaño incorrecto;Reembolso
76625;8136;4;8/17/2006;Producto o tamaño incorrecto;Intercambio por nuevos productos
19736;10129;8;8/19/2006;Producto o tamaño incorrecto;Crédito de la tienda
94421;9891;6;8/19/2006;Producto dañado o defectuoso;Intercambio por nuevos productos
15865;9938;11;8/21/2006;Producto dañado o defectuoso;Intercambio por nuevos productos
43918;9317;7;8/21/2006;Cambio de idea o insatisfacción personal;Crédito de la tienda
69618;6164;6;8/21/2006;Cambio de idea o insatisfacción personal;Reembolso
75463;1911;2;8/21/2006;Cambio de idea o insatisfacción personal;Intercambio por variante
26820;9954;4;8/25/2006;Producto dañado o defectuoso;Crédito de la tienda
76706;10089;8;8/25/2006;Cambio de idea o insatisfacción personal;Intercambio por variante
47778;3716;1;8/27/2006;Cambio de idea o insatisfacción personal;Crédito de la tienda
69767;2379;1;8/27/2006;Producto o tamaño incorrecto;Intercambio por nuevos productos
11216;3388;1;8/28/2006;Producto dañado o defectuoso;Crédito de la tienda
60249;10276;5;8/29/2006;Producto dañado o defectuoso;Intercambio por variante
98330;10095;4;8/29/2006;Producto dañado o defectuoso;Intercambio por nuevos productos
71629;10044;7;9/1/2006;Cambio de idea o insatisfacción personal;Intercambio por variante
6001;7456;1;9/3/2006;Cambio de idea o insatisfacción personal;Crédito de la tienda
97411;4004;9;9/3/2006;Cambio de idea o insatisfacción personal;Crédito de la tienda
55964;2627;3;9/5/2006;Producto dañado o defectuoso;Reembolso
13957;8710;1;9/6/2006;Cambio de idea o insatisfacción personal;Crédito de la tienda
37315;4173;4;9/7/2006;Producto dañado o defectuoso;Intercambio por nuevos productos
58884;4072;8;9/8/2006;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
92525;7478;1;9/8/2006;Cambio de idea o insatisfacción personal;Reembolso
99860;4606;4;9/8/2006;Cambio de idea o insatisfacción personal;Crédito de la tienda
56299;3001;1;9/14/2006;Cambio de idea o insatisfacción personal;Intercambio por nuevos productos
71629;2474;5;9/15/2006;Producto o tamaño incorrecto;Reembolso
99798;1801;8;9/15/2006;Producto dañado o defectuoso;Reembolso
5472;5770;2;9/17/2006;Cambio de idea o insatisfacción personal;Intercambio por variante
91844;4474;1;9/17/2006;Producto dañado o defectuoso;Reembolso
13537;5713;1;9/18/2006;Cambio de idea o insatisfacción personal;Crédito de la tienda
40063;5617;5;9/20/2006;Cambio de idea o insatisfacción personal;Reembolso
56885;3660;5;9/20/2006;Producto o tamaño incorrecto;Intercambio por variante
